property_name,link,society,price,area,areaWithType,bedRoom,bathroom,balcony,additionalRoom,address,floorNum,facing,agePossession,nearbyLocations,description,furnishDetails,features,rating,property_id
2 BHK Flat in Kaspate Vasti,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-malpani-greens-kaspate-vasti-pune-1200-sq-ft-spid-O70239764,Malpani Greens,1.05 Crore,"₹ 8,750/sq.ft.",Built Up area: 1200 (111.48 sq.m.)Carpet area: 930 sq.ft. (86.4 sq.m.),2 Bedrooms,2 Bathrooms,2 Balconies,Pooja Room,"Kaspate Vasti, Pune, Maharashtra",11st   of 12 Floors,North-West,1 to 5 Year Old,"['Wakad chowk metro station', 'Dakshinmukhi Maruti Mandir', 'Yes bank ATM', 'South indian bank ATM', 'Icici bank ATM', 'Indusind bank ATM', 'NRS hospital', 'Global Multi Speciality Hospital Pune', 'Phoenix Hospital Pune', 'Ankur Hospital Shivaji Nagar', 'Polaris Health Care', 'Jeevanjyoti Hospital', 'Apple Hospital', 'Ushakiran Eye Hospital', 'MedPlus', 'Shifa medical', 'Indian Petrol Pump', 'Kotak mahindra bank', 'Andhra bank', 'Yes bank', 'South indian bank', 'Namah', 'Hobbit', 'Red Curry', 'Oriental Kitchen', 'House of Parathas', 'Shaurya', 'Eagle Brothers Pizza', 'Eat & Treat', 'Gypsey Tongue', 'Merazo', 'Rolls Mania', 'Flechazo', 'Mad Momos', 'Healthy Bee', 'The Breakfast Box', 'Paratha Express', 'Balle Balle Punjabi', 'Al Zaika', 'The Chinese Wok', 'Copa Cabana', 'Tehelka', 'Khyber', 'Pattal', 'Talli Twist', 'Big Bang Pizza', 'Barkhana', 'Pumpkin Patch Daycare', 'Sesame Street Preschool', 'Wisdom International School']","Check out this 2 bhk apartment for sale in malpani greens, a popular residential project that houses in-Demand flats in kaspate vasti, pune. The flat is over 1200 sq.Ft. Built up area and comes with 2 bedroom(s), 2 bathrooms and 2 balconies. The property is located on the 11th floor of a 12 floors tall building. This 1-5 years old property is available for immediate possession as the project is ready to move. The floor of this flat is beautifully designed using vitrified flooring, giving the flat an alluring look. All the modern amenities such as swimming pool, water softening plant, security personnel, maintenance staff, shopping centre, club house / community center, cctv surveillance, fitness centre / gym, park and lift(s) will make life easier for you. The project provides access to clean water through municipal corporation and borewell/tank supply.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.","['1 Bed', '1 Wardrobe', '1 Water Purifier', '3 Fan', '1 Exhaust Fan', '1 Geyser', '3 Light', '1 Modular Kitchen', '1 Chimney', '1 Curtains', 'No AC', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine']","['Power Back-up', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","['Lifestyle3.9 out of 5', 'Connectivity4 out of 5', 'Safety3.8 out of 5', 'Environment3.6 out of 5']",O70239764
3 BHK Flat in Balewadi,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-supreme-palms-balewadi-pune-1500-sq-ft-spid-S70629106,Supreme Palms3.9 ★,1.3 Crore,"₹ 8,666/sq.ft.",Built Up area: 1500 (139.35 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),3 Bedrooms,3 Bathrooms,3 Balconies,,"Balewadi, Pune, Maharashtra",9th   of 9 Floors,South,5 to 10 Year Old,"['Laxmi Mata Mandir', 'Indusind bank ATM', 'Ashakiran Hospital', 'FAMILY DENTAL CARE', 'Health Bay Clinic', 'Ashwini Hospital', 'Dr. Mandar Dhamangaonkar', ""Pendse's PhysiTech Pvt. Ltd."", 'Benecare mother & child care', 'Phoenix Pharmacy', 'Elite Empire', 'Shri ganesh sahakari bank', 'Svc bank balewadi branch', 'Lokmanya multipurpose co-op bank', 'State bank of india', 'Pune sahakari bank ltd.', 'Sbi bank', 'Indusind bank', 'Deewan Khana', 'Tales and Spirits', 'Hippie Heart', 'Mr.Vandal', 'Crazy Noodles', 'Independence Brewing Co.', ""McDonald's"", 'Incognito', 'Subway', 'Starbucks', 'La Pizzeria', 'Masalabar', 'Marrakesh', 'SWIG Bar & Eatery', 'Urban Foundry', 'Gong', 'Terttulia Bistro', 'Taco Bell', ""Arthur's Theme"", 'Apache Fluid', 'The 3 Musketeers Pub', 'Playboy Beer Garden', 'Mavala Darbar', 'Nawaab Asia', 'The Old Mansion', 'Coffee Day', 'Paradise Sweets', 'Post 91', 'Chahachi Tallaf', 'Bharti Vidyapeeth English Medium School', 'Shri Mhatoba Tukaram Balwadkar Vidyalay']","Located in the popular residential address of balewadi, pune, supreme palms is one of the most preferred destination for apartments in pune. This 3 bhk flat is your ticket to be a part of this community. Constructed on a built up area of 1500 sq.Ft., the flat comprises 3 bedroom(s), 3 bathrooms and 3 balconies. This flat is situated on the top floor of this 9 floors tall residential building. Being a ready to move project, you can expect immediate possession of this 5-10 years old property. Supreme palms is designed very well to provide modern facilities such as swimming pool, security personnel, maintenance staff, club house / community center, fitness centre / gym, park and lift(s).
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
The society has dedicated security guards for every tower.",,"['Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Fitness Centre / GYM', 'Club house / Community Center']","['Management3.9 out of 5', 'Connectivity3.6 out of 5', 'Amenities4 out of 5', 'Construction4 out of 5', 'Green Area4.1 out of 5']",S70629106
3 BHK Flat in Bavdhan,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-gandhi-euthenia-homes-bavdhan-pune-1250-sq-ft-spid-G70744476,Gandhi Euthenia Homes,1.25 Crore,"₹ 10,000/sq.ft.",Built Up area: 1250 (116.13 sq.m.)Carpet area: 1020 sq.ft. (94.76 sq.m.),3 Bedrooms,3 Bathrooms,3 Balconies,,"Bavdhan, Pune, Maharashtra",4th   of 4 Floors,East,1 to 5 Year Old,"['Hanuman Mandir', 'State bank of india ATM', 'Sbi ATM', 'Icici ATM', 'Axis bank ATM', 'Bhavdhan Medicare Centre', 'HEART HEALTH CLINIC', 'Om Hospital', 'Chellaram Hospital', 'Borse Nursing Home', 'Orthopedic Spine Surgeon Dr Uday Pote', 'FPA Kothrud', 'Micro Dentist Clinic', 'Kurtkoti Nursing Home', 'Apple medical store', 'Matoshree Medico', 'Metro Chemist', 'State bank of india bavdhan branch', 'Bavdhan merchant bank', 'Saraswat bank bavdhan branch', 'Icici bank bavdhan branch', 'Axis bank', 'Saraswat bank', 'State bank of india', 'Indusind bank', 'Axis bank', 'D Palace', 'Om Sai Expresso', 'Om Sai Snacks and juice center', 'KFC', 'Subway', 'Trikaya', 'Cafe Peter', ""Andy's"", '21 Hill Street', 'Coffee Day', 'Apache', 'Banjara Hills', 'The Breakfast Cafe', 'Up and Above', 'The Mint Leaf', 'Coffee Day', 'Cafe Cofee Day', 'Dine Street', 'Cafe coffee shop', ""McDonald's"", 'New India School']","Check out this 3 bhk apartment for sale in gandhi euthenia homes, a popular residential project that houses in-Demand flats in bavdhan, pune. The flat is east-Facing. The floor plan additionally contains 3 bedroom(s), 3 bathrooms and 2 balconies. All in all, the flat is spread over a built up area of 1500 sq.Ft. The residential building has 4 floors in total and the flat for sale is located on the top floor. This is a ready to move project and the property is 0-1 year old. The spartex flooring of this flat is beautifully designed and helps to give it a pleasing look. Gandhi euthenia homes is designed very well to provide modern facilities such as lift(s), visitor parking, maintenance staff, shopping centre and security personnel. The society provides continuous water supply from municipal corporation and borewell/tank.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
The society has dedicated security guards for every tower.",,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Piped-gas', 'Visitor Parking', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Low Density Society', 'Shopping Centre', 'Waste Disposal']","['Lifestyle4.1 out of 5', 'Connectivity4.1 out of 5', 'Safety4.1 out of 5', 'Environment4.1 out of 5']",G70744476
4 BHK Flat in Ram Nagar Bavdhan,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-shri-sai-aquila-classique-pune-2004-sq-ft-spid-C70743494,Shri Sai Aquila Classique,1.8 Crore,"₹ 8,982/sq.ft.",Built Up area: 2004 (186.18 sq.m.)Carpet area: 1700 sq.ft. (157.94 sq.m.),4 Bedrooms,4 Bathrooms,3 Balconies,Servant Room,"Ram Nagar Bavdhan, Pune, Maharashtra",6th   of 7 Floors,North-East,10+ Year Old,"['Hanuman Mandir', 'Axis bank ATM', 'Icici ATM', 'State bank of india ATM', 'Sbi ATM', 'Cosmos bank ATM', 'Om Hospital', 'HEART HEALTH CLINIC', 'Bhavdhan Medicare Centre', 'Chellaram Hospital', 'Micro Dentist Clinic', 'Jupiter Hospital', 'Borse Nursing Home', 'Orthopedic Spine Surgeon Dr Uday Pote', 'FPA Kothrud', 'Jeevan Deep Medicare Centre', 'Shri Laxmi Dhaam', 'Apple medical store', 'Matoshree Medico', 'Metro Chemist', 'Axis bank', 'Icici bank bavdhan branch', 'Saraswat bank bavdhan branch', 'Bavdhan merchant bank', 'State bank of india bavdhan branch', 'Cosmos bank pashan branch', 'The Breakfast Cafe', ""Andy's"", 'Trikaya', 'Subway', 'KFC', 'D Palace', 'Dine Street', 'Om Sai Expresso', 'Om Sai Snacks and juice center', 'Cafe Peter', '21 Hill Street', 'Coffee Day', 'Apache', 'The Mint Leaf', 'Banjara Hills', 'Up and Above', 'Coffee Day', 'Cafe Cofee Day', 'Rangla Punjab', 'Nakshatra', 'New India School']","This lovely 4 bhk apartment/flat in ram nagar bavdhan is available for sale in one of pune's most popular projects, shri sai aquila classique. This property faces the east direction. The flat is over 2004 sq.Ft. Built up area and comes with 4 bedroom(s), 4 bathrooms and 3 balconies. This flat is situated on the 6th floor of this 7 floors tall residential building. Being a ready to move project, you can expect immediate possession of this 10 years old property. The beautifully designed spartex flooring enhances the beauty of the flat. All the modern amenities such as park, lift(s), visitor parking, maintenance staff, shopping centre and security personnel will make life easier for you. The society provides continuous water supply from municipal corporation and borewell/tank.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
The society has dedicated security guards for every tower.",,"['Security / Fire Alarm', 'Lift(s)', 'Water purifier', 'Maintenance Staff', 'Water Storage', 'Piped-gas', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Low Density Society', 'Shopping Centre', 'Waste Disposal', 'Rain Water Harvesting']",,C70743494
2 BHK Flat in Bavdhan,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-bavdhan-pune-1000-sq-ft-spid-Y70098120,nr Madhuvishv society,48 Lac,"₹ 4,800/sq.ft.",Super Built up area 1000(92.9 sq.m.)Built Up area: 900 sq.ft. (83.61 sq.m.)Carpet area: 750 sq.ft. (69.68 sq.m.),2 Bedrooms,2 Bathrooms,1 Balcony,Pooja Room,"301, Bavdhan, Pune, Maharashtra",2nd   of 4 Floors,West,10+ Year Old,"['Hanuman Mandir', 'Icici ATM', 'Axis bank ATM', 'State bank of india ATM', 'Sbi ATM', 'Chellaram Hospital', 'Bhavdhan Medicare Centre', 'HEART HEALTH CLINIC', 'Om Hospital', 'Micro Dentist Clinic', 'Borse Nursing Home', 'Orthopedic Spine Surgeon Dr Uday Pote', 'FPA Kothrud', 'Kurtkoti Nursing Home', 'Apple medical store', 'Matoshree Medico', 'Metro Chemist', 'Saraswat bank bavdhan branch', 'Icici bank bavdhan branch', 'Axis bank', 'Bavdhan merchant bank', 'State bank of india bavdhan branch', 'Saraswat bank', 'State bank of india', 'Indusind bank', 'Axis bank', 'KFC', 'Trikaya', 'Subway', ""Andy's"", 'D Palace', 'Dine Street', 'The Mint Leaf', 'The Breakfast Cafe', 'Om Sai Expresso', 'Om Sai Snacks and juice center', 'Cafe Peter', '21 Hill Street', 'Coffee Day', 'Apache', 'Banjara Hills', 'Up and Above', 'Coffee Day', 'Cafe Cofee Day', 'Cafe coffee shop', 'Oasis', 'New India School']","2bhk flat for sale collector approval at bavdhan bk,
Lift,cctv,well maintain society,This beautiful 2 bhk flat in bavdhan budruk, pune is situated in nr madhuvishv society, one of the popular residential society in pune. Constructed on a super built up area of 1000 sq.Ft., the flat comprises 2 bedroom(s), 2 bathrooms and 1 balcony. The flat has a total of 4 floors and this property is situated on 2nd floor. This is a ready to move project and the property is 10+ years old.",,"['Feng Shui / Vaastu Compliant', 'Lift(s)', 'High Ceiling Height', 'Water Storage', 'No open drainage around', 'Visitor Parking', 'Security Personnel', 'Waste Disposal']","['Lifestyle4.1 out of 5', 'Connectivity4.1 out of 5', 'Safety4.1 out of 5', 'Environment4.1 out of 5']",Y70098120
3 BHK Flat in Pranjali Patil Nagar,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-paranjape-gloria-grace-pranjali-patil-nagar-pune-1525-sq-ft-spid-J69705004,Paranjape Gloria Grace4.0 ★,1.3 Crore,"₹ 10,317/sq.ft.",Super Built up area 1525(141.68 sq.m.)Carpet area: 1260 sq.ft. (117.06 sq.m.),3 Bedrooms,3 Bathrooms,2 Balconies,Pooja Room,"700, Pranjali Patil Nagar, Pune, Maharashtra",7th   of 12 Floors,East,5 to 10 Year Old,"['Sbi ATM', 'State bank of india ATM', 'Icici ATM', 'Axis bank ATM', 'Chellaram Hospital', 'Bhavdhan Medicare Centre', 'HEART HEALTH CLINIC', 'Micro Dentist Clinic', 'Om Hospital', 'FPA Kothrud', 'Borse Nursing Home', 'Orthopedic Spine Surgeon Dr Uday Pote', 'Kurtkoti Nursing Home', 'Apple medical store', 'Matoshree Medico', 'Metro Chemist', 'Bavdhan merchant bank', 'State bank of india bavdhan branch', 'Saraswat bank bavdhan branch', 'Icici bank bavdhan branch', 'Axis bank', 'Saraswat bank', 'State bank of india', 'Indusind bank', 'Axis bank', 'The Mint Leaf', 'Dine Street', 'Cafe Peter', 'Coffee Day', 'Om Sai Snacks and juice center', 'Om Sai Expresso', '21 Hill Street', 'Apache', 'KFC', 'Banjara Hills', 'Up and Above', 'D Palace', 'Subway', 'Trikaya', ""Andy's"", 'Coffee Day', 'The Breakfast Cafe', 'Cafe Cofee Day', 'Oasis', 'Cafe coffee shop', ""McDonald's"", 'New India School']","Paranjape gloria grace is one of the most popular destination for buying apartments/ flats in pranjali patil nagar, pune. You too can be a part of this society by purchasing this 3 bhk flat here. This residential flat is east-Facing direction. Constructed on a super built up area of 1525 sq.Ft., the flat comprises 3 bedroom(s), 3 bathrooms and 2 balconies. This flat is situated on the 7th floor of this 12 floors tall residential building. This is a ready to move project and the property is 5-10 years old. The floor of this flat is beautifully designed using vitrified flooring, giving the flat an alluring look. This flat is located near close to metro station, close to school and close to hospital. Many of the modern amenities being offered, like maintenance staff, visitor parking, park, lift(s), shopping centre, fitness centre / gym, swimming pool, club house / community center, security personnel and water softening plant, will provide a pleasant living experience for you. Municipal corporation and borewell/tank provides a regular supply of water to this residential project.",,"['Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'No open drainage around', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","['Management4 out of 5', 'Connectivity4 out of 5', 'Amenities4.1 out of 5', 'Construction3.9 out of 5', 'Green Area4 out of 5']",J69705004
2 BHK Flat in Balewadi,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-gini-viviana-balewadi-pune-1210-sq-ft-spid-J70344776,Gini Viviana,90 Lac,"₹ 7,438/sq.ft.",Super Built up area 1210(112.41 sq.m.)Built Up area: 1106 sq.ft. (102.75 sq.m.)Carpet area: 840 sq.ft. (78.04 sq.m.),2 Bedrooms,2 Bathrooms,1 Balcony,,"Balewadi, Pune, Maharashtra",9th   of 10 Floors,North,1 to 5 Year Old,"['Laxmi Mata Mandir', 'Indusind bank ATM', 'Ashakiran Hospital', 'FAMILY DENTAL CARE', 'Ashwini Hospital', 'Health Bay Clinic', 'Dr. Rajesh Badani', 'Phoenix Pharmacy', 'Elite Empire', 'Shri ganesh sahakari bank', 'Svc bank balewadi branch', 'State bank of india', 'Lokmanya multipurpose co-op bank', 'Pune sahakari bank ltd.', 'Hdfc pimple nilakh branch bank', 'Deewan Khana', 'Crazy Noodles', 'Hippie Heart', 'Tales and Spirits', 'Mr.Vandal', 'Independence Brewing Co.', ""McDonald's"", 'Incognito', 'Taco Bell', 'La Pizzeria', 'Subway', 'Marrakesh', 'Gong', ""Arthur's Theme"", 'Starbucks', 'Masalabar', 'Playboy Beer Garden', 'SWIG Bar & Eatery', 'Urban Foundry', 'Terttulia Bistro', 'Apache Fluid', 'The 3 Musketeers Pub', 'Mavala Darbar', 'Nawaab Asia', 'The Old Mansion', '1BHK Superbar', 'Elora Artisan Kitchen', 'Coffee Day', 'The Poona Canteen', 'No Strings Attached', 'Post 91', 'Paradise Sweets', 'Bharti Vidyapeeth English Medium School', 'Shri Mhatoba Tukaram Balwadkar Vidyalay']","This beautiful 2 bhk flat in balewadi, pune is situated in gini viviana, one of the popular residential society in pune. The flat is over 1210 sq.Ft. Super built up area and comes with 2 bedroom(s), 2 bathrooms and 1 balcony. This flat is situated on the 9th floor of this 10 floors tall residential building. An added advantage of this 1-5 years old flat is that it is available for immediate possession as the project is already ready to move.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.","['3 Fan', '1 Exhaust Fan', '1 Geyser', '1 Microwave', '3 Light', '1 Chimney', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","['Lifestyle4.3 out of 5', 'Connectivity4.2 out of 5', 'Safety4.1 out of 5', 'Environment4.1 out of 5']",J70344776
2 BHK Flat in Balewadi,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-gini-viviana-balewadi-pune-1210-sq-ft-spid-W70436248,Gini Viviana,89.5 Lac,"₹ 7,396/sq.ft.",Super Built up area 1210(112.41 sq.m.)Carpet area: 841 sq.ft. (78.13 sq.m.),2 Bedrooms,2 Bathrooms,1 Balcony,Study Room,"Balewadi, Pune, Maharashtra",9th   of 10 Floors,East,1 to 5 Year Old,"['Laxmi Mata Mandir', 'Indusind bank ATM', 'Ashakiran Hospital', 'FAMILY DENTAL CARE', 'Ashwini Hospital', 'Health Bay Clinic', 'Dr. Rajesh Badani', 'Phoenix Pharmacy', 'Elite Empire', 'Shri ganesh sahakari bank', 'Svc bank balewadi branch', 'State bank of india', 'Lokmanya multipurpose co-op bank', 'Pune sahakari bank ltd.', 'Hdfc pimple nilakh branch bank', 'Deewan Khana', 'Crazy Noodles', 'Hippie Heart', 'Tales and Spirits', 'Mr.Vandal', 'Independence Brewing Co.', ""McDonald's"", 'Incognito', 'Taco Bell', 'La Pizzeria', 'Subway', 'Marrakesh', 'Gong', ""Arthur's Theme"", 'Starbucks', 'Masalabar', 'Playboy Beer Garden', 'SWIG Bar & Eatery', 'Urban Foundry', 'Terttulia Bistro', 'Apache Fluid', 'The 3 Musketeers Pub', 'Mavala Darbar', 'Nawaab Asia', 'The Old Mansion', '1BHK Superbar', 'Elora Artisan Kitchen', 'Coffee Day', 'The Poona Canteen', 'No Strings Attached', 'Post 91', 'Paradise Sweets', 'Bharti Vidyapeeth English Medium School', 'Shri Mhatoba Tukaram Balwadkar Vidyalay']","Situated in balewadi, pune, gini viviana is a well planned society that offers a pleasant living experience to its residents. This 2 bhk flat in pune is your opportunity to be a part of this community. The floor plan additionally contains 2 bedroom(s), 2 bathrooms and 1 balcony. All in all, the flat is spread over a super built up area of 1210 sq.Ft. The residential building has 10 floors in total and the flat for sale is located on the 9th floor. This 1-5 years old property is available for immediate possession as the project is ready to move.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.","['4 Fan', '1 Exhaust Fan', '1 Geyser', '1 Microwave', '4 Light', '1 Chimney', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","['Lifestyle4.3 out of 5', 'Connectivity4.2 out of 5', 'Safety4.1 out of 5', 'Environment4.1 out of 5']",W70436248
2 BHK Flat in Laxman Nagar,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-nandan-spectra-laxman-nagar-pune-1173-sq-ft-spid-I70344688,Nandan Spectra,1.15 Crore,"₹ 9,803/sq.ft.",Super Built up area 1173(108.98 sq.m.)Built Up area: 1103 sq.ft. (102.47 sq.m.)Carpet area: 820 sq.ft. (76.18 sq.m.),2 Bedrooms,2 Bathrooms,2 Balconies,,"Laxman Nagar, Pune, Maharashtra",7th   of 12 Floors,West,1 to 5 Year Old,"['Indusind bank ATM', 'Health Bay Clinic', 'Accord Hospital', 'Equitas small finance bank', 'State bank of india', 'Lokmanya multipurpose co-op bank', 'Dena bank', 'Icici bank', 'Sbi intouch bank', 'Indusind bank', 'Svc bank balewadi branch', 'Playboy Beer Garden', ""Arthur's Theme"", 'Gong', 'Taco Bell', 'Marrakesh', 'La Pizzeria', ""McDonald's"", 'Incognito', 'Subway', 'Starbucks', 'Masalabar', 'Nawaab Asia', 'SWIG Bar & Eatery', 'Urban Foundry', 'Terttulia Bistro', 'Apache Fluid', 'Independence Brewing Co.', 'Mr.Vandal', '1BHK Superbar', 'Tales and Spirits', 'Elora Artisan Kitchen', 'No Strings Attached', 'Hippie Heart', 'The Poona Canteen', 'Crazy Noodles', 'Mavala Darbar', 'Nirvana', 'Orion', 'The 3 Musketeers Pub', 'Cabaret', 'Post 91', 'Deewan Khana', 'The Old Mansion', 'KFC', 'Sadanand Resorts', 'Shri Mhatoba Tukaram Balwadkar Vidyalay', 'Bharti Vidyapeeth English Medium School']","Check out this 2 bhk apartment for sale in nandan spectra, a popular residential project that houses in-Demand flats in laxman nagar, pune. The floor plan additionally contains 2 bedroom(s), 2 bathrooms and 2 balconies. All in all, the flat is spread over a super built up area of 1173 sq.Ft. The flat has a total of 12 floors and this property is situated on 7th floor. An added advantage of this 1-5 years old flat is that it is available for immediate possession as the project is already ready to move.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.","['1 Water Purifier', '3 Fan', '1 Exhaust Fan', '1 Geyser', '1 Stove', '3 Light', '1 Chimney', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Wardrobe', 'No Washing Machine']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",,I70344688
2 BHK Flat in Baner,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-puraniks-aldea-baner-pune-1076-sq-ft-spid-O70154696,Puraniks Aldea3.9 ★,84 Lac,"₹ 7,806/sq.ft.",Super Built up area 1076(99.96 sq.m.)Built Up area: 989 sq.ft. (91.88 sq.m.)Carpet area: 700 sq.ft. (65.03 sq.m.),2 Bedrooms,2 Bathrooms,1 Balcony,Others,"Baner, Pune, Maharashtra",12nd   of 15 Floors,East,1 to 5 Year Old,"['Aditya Shagun Mall', 'Aundh', 'University Circle', 'Pune University', 'Vibgyor School', 'Ryan International', 'Medipoint', 'Deccan Gymkhana', 'Rajiv Gandhi Infotech Park', 'Hinjewadi IT Park', 'Orchid', 'Oxford Gold Resort', 'Oxford Golf Resort']","Puraniks aldea is one of the most popular destination for buying apartments/ flats in baner, pune. You too can be a part of this society by purchasing this 2 bhk flat here. The floor plan additionally contains 2 bedroom(s), 2 bathrooms and 1 balcony. All in all, the flat is spread over a super built up area of 1076 sq.Ft. The residential building has 15 floors in total and the flat for sale is located on the 12th floor. This 1-5 years old property is available for immediate possession as the project is ready to move.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.","['3 Fan', '1 Exhaust Fan', '1 Geyser', '4 Light', '1 Chimney', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","['Management3.9 out of 5', 'Connectivity4.2 out of 5', 'Amenities3.8 out of 5', 'Construction3.8 out of 5', 'Green Area3.6 out of 5']",O70154696
