,property_type,society,sector,price_cr,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,nearbyLoc_score,area_room_ratio
0,house,ardee city,sector 52,5.5,20370.0,2700.0,Plot area 300(27.87 sq.m.),9.0,9.0,3+,3.0,South,Moderately Old,,300.0,,0.0,1.0,0.0,1.0,1.0,2.0,26.0,53.0,300.0
2,house,unitech south city,sector 50,5.88,27222.0,2160.0,Plot area 240(200.67 sq.m.),3.0,9.0,3+,3.0,East,Relatively New,,2160.0,,1.0,1.0,0.0,1.0,1.0,1.0,128.0,59.0,720.0
4,house,independent,sector 41,7.25,29293.0,2475.0,Plot area 275(229.94 sq.m.),9.0,8.0,3,4.0,South-West,Old Property,,2475.0,,0.0,1.0,0.0,0.0,0.0,2.0,94.0,69.0,275.0
5,house,independent,sector 25,13.5,19286.0,7000.0,Built Up area: 7000 (650.32 sq.m.),9.0,9.0,0,1.0,East,Relatively New,,7000.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,777.7777777777778
6,house,independent,sector 47,5.25,11666.0,4500.0,Plot area 1944(180.6 sq.m.)Built Up area: 4650 sq.ft. (432 sq.m.)Carpet area: 4500 sq.ft. (418.06 sq.m.),9.0,9.0,3+,4.0,East,Relatively New,,4650.0,4500.0,0.0,1.0,0.0,0.0,0.0,2.0,142.0,66.0,500.0
7,house,independent,sector 2,5.7,22634.0,2518.0,Plot area 270(225.75 sq.m.),9.0,9.0,3+,3.0,North-East,Moderately Old,,2430.0,,0.0,0.0,0.0,1.0,0.0,2.0,0.0,82.0,279.77777777777777
8,house,huda floor,sector 38,4.0,22222.0,1800.0,Plot area 1800(167.23 sq.m.)Built Up area: 4800 sq.ft. (445.93 sq.m.)Carpet area: 3800 sq.ft. (353.03 sq.m.),4.0,9.0,3+,2.0,East,Relatively New,,4800.0,3800.0,0.0,0.0,1.0,1.0,0.0,2.0,152.0,76.0,450.0
9,house,independent,sector 2,1.0,8230.0,1215.0,Plot area 135(112.88 sq.m.),3.0,7.0,3+,3.0,North,Moderately Old,,1215.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,98.0,405.0
10,house,dlf city plots phase 2,sector 25,6.5,33592.0,1935.0,Plot area 215(179.77 sq.m.),3.0,9.0,3+,3.0,West,Old Property,,1935.0,,1.0,1.0,1.0,1.0,0.0,2.0,142.0,61.0,645.0
11,house,independent,sector 43,14.0,39886.0,3510.0,Plot area 390(326.09 sq.m.),9.0,9.0,3+,4.0,North,Moderately Old,,3510.0,,0.0,1.0,0.0,0.0,0.0,0.0,7.0,63.0,390.0
12,house,dlf city plots phase 2,sector 25,10.75,29861.0,3600.0,Plot area 400(334.45 sq.m.),9.0,9.0,3+,3.0,South-West,Old Property,,3600.0,,0.0,1.0,1.0,1.0,0.0,0.0,73.0,61.0,400.0
13,house,suncity township,sector 54,2.0,3440.0,5814.0,Plot area 60Built Up area: 60 sq.m.Carpet area: 59 sq.m.,9.0,9.0,3,11.0,North,Relatively New,,60.0,59.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,81.0,646.0
14,house,independent,sector 9,3.4,12938.0,2628.0,Plot area 292(244.15 sq.m.),9.0,9.0,3,3.0,West,Moderately Old,,2628.0,,0.0,0.0,0.0,0.0,0.0,2.0,61.0,48.0,292.0
15,house,sector 38 rwa,sector 38,4.3,28782.0,1494.0,Plot area 166(138.8 sq.m.)Built Up area: 165 sq.yards (137.96 sq.m.)Carpet area: 164 sq.yards (137.12 sq.m.),3.0,9.0,3+,3.0,East,Relatively New,,165.0,164.0,0.0,0.0,0.0,1.0,1.0,2.0,41.0,68.0,498.0
16,house,independent,sector 2,3.65,23442.0,1557.0,Plot area 173(144.65 sq.m.),3.0,9.0,3+,3.0,West,New Property,,1557.0,,0.0,1.0,0.0,1.0,0.0,2.0,116.0,90.0,519.0
17,house,independent,sector 47,5.15,26615.0,1935.0,Plot area 215(179.77 sq.m.),3.0,9.0,3+,3.0,East,Relatively New,,1935.0,,0.0,0.0,1.0,0.0,0.0,2.0,75.0,66.0,645.0
18,house,independent,sector 12,1.0,8230.0,1215.0,Plot area 135(12.54 sq.m.)Built Up area: 3750 sq.ft. (348.39 sq.m.),3.0,7.0,3+,3.0,North,Moderately Old,,3750.0,,0.0,0.0,1.0,1.0,0.0,0.0,7.0,90.0,405.0
19,house,independent,sector 9,3.5,13410.0,2610.0,Plot area 290(242.48 sq.m.),9.0,9.0,3+,3.0,North-East,Relatively New,,2610.0,,1.0,0.0,0.0,0.0,0.0,0.0,23.0,48.0,290.0
20,house,independent,sector 45,4.49,24455.0,1836.0,Plot area 204(170.57 sq.m.),3.0,9.0,3+,3.0,North-West,Moderately Old,,1836.0,,0.0,0.0,0.0,0.0,1.0,2.0,90.0,77.0,612.0
21,house,anamika enclave,sector 12,6.0,14492.0,4140.0,Plot area 4140(384.62 sq.m.)Built Up area: 9000 sq.ft. (836.13 sq.m.),9.0,9.0,3+,3.0,North-West,Old Property,,9000.0,,0.0,0.0,0.0,0.0,0.0,0.0,9.0,17.0,460.0
22,house,independent,sector 55,5.0,44444.0,1125.0,Plot area 125(104.52 sq.m.)Built Up area: 115 sq.yards (96.15 sq.m.)Carpet area: 100 sq.yards (83.61 sq.m.),2.0,9.0,3+,5.0,East,New Property,,115.0,100.0,0.0,0.0,0.0,0.0,1.0,2.0,44.0,81.0,562.5
23,house,independent,sector 12,6.0,35088.0,1710.0,Plot area 190(17.65 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),4.0,6.0,2,2.0,North-East,Old Property,,,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,427.5
24,house,independent,sector 43,5.3,27390.0,1935.0,Plot area 215(179.77 sq.m.),3.0,9.0,3+,3.0,East,Moderately Old,,1935.0,,0.0,1.0,0.0,0.0,0.0,2.0,71.0,63.0,645.0
25,house,unitech palms south city 1,sector 41,9.25,28549.0,3240.0,Plot area 3240(301.01 sq.m.)Built Up area: 5000 sq.ft. (464.52 sq.m.)Carpet area: 4500 sq.ft. (418.06 sq.m.),9.0,9.0,3+,4.0,North,Moderately Old,,5000.0,4500.0,1.0,1.0,1.0,1.0,0.0,2.0,65.0,69.0,360.0
26,house,independent,sector 23,5.5,13095.0,4200.0,Plot area 4200(390.19 sq.m.),9.0,9.0,3+,3.0,South,Moderately Old,,4200.0,,0.0,1.0,0.0,0.0,1.0,2.0,0.0,82.0,466.6666666666667
27,house,independent,sector 40,5.0,21124.0,2367.0,Plot area 263(219.9 sq.m.),9.0,9.0,3+,3.0,North-West,Moderately Old,,2367.0,,0.0,1.0,1.0,0.0,0.0,2.0,83.0,79.0,263.0
28,house,dlf city plots phase 2,sector 25,7.5,31686.0,2367.0,Plot area 215(179.77 sq.m.),9.0,9.0,3+,4.0,West,Relatively New,,2300.5,,1.0,1.0,0.0,1.0,0.0,2.0,160.0,61.0,263.0
29,house,independent,sector 43,7.85,29074.0,2700.0,Plot area 300(250.84 sq.m.),9.0,9.0,3+,3.0,West,Relatively New,,2700.0,,1.0,1.0,0.0,1.0,1.0,1.0,49.0,54.0,300.0
30,house,independent,sector 9a,4.5,14286.0,3150.0,Plot area 14(354.1 sq.m.),9.0,9.0,3+,3.0,,Relatively New,,14.0,,1.0,0.0,0.0,1.0,1.0,2.0,38.0,55.0,350.0
31,house,independent,sector 25,7.6,38756.0,1961.0,Plot area 215(179.77 sq.m.),2.0,9.0,3,4.0,East,Relatively New,,1935.0,,1.0,0.0,1.0,1.0,0.0,2.0,84.0,61.0,980.5
32,house,independent,sector 40,5.0,21124.0,2367.0,Plot area 263(219.9 sq.m.),9.0,9.0,3+,3.0,South-East,Relatively New,,2367.0,,0.0,0.0,0.0,1.0,0.0,2.0,66.0,79.0,263.0
33,house,adani brahma samsara,sector 60,18.02,28200.0,6390.0,Built Up area: 6390 (593.65 sq.m.),9.0,12.0,3+,3.0,North-East,Relatively New,,6390.0,,0.0,1.0,0.0,0.0,0.0,2.0,146.0,69.0,710.0
34,house,independent,sector 57,7.25,26852.0,2700.0,Plot area 300(250.84 sq.m.),9.0,9.0,3+,2.0,North-East,New Property,,2700.0,,0.0,1.0,0.0,1.0,1.0,2.0,49.0,74.0,300.0
35,house,independent,sector 28,11.25,34722.0,3240.0,Plot area 360(301.01 sq.m.),9.0,9.0,3+,2.0,North,Moderately Old,,3240.0,,0.0,1.0,1.0,1.0,0.0,2.0,126.0,69.0,360.0
36,house,independent,sector 27,8.0,26298.0,3042.0,Plot area 338(282.61 sq.m.),9.0,9.0,3,4.0,North-East,Relatively New,,3042.0,,1.0,1.0,1.0,1.0,0.0,1.0,110.0,55.0,338.0
37,house,nul,sector 25,9.5,33404.0,2844.0,Plot area 316(264.22 sq.m.),9.0,9.0,3+,3.0,North-West,Old Property,,2844.0,,0.0,0.0,0.0,0.0,1.0,0.0,81.0,61.0,316.0
38,house,independent,sector 46,4.35,23693.0,1836.0,Plot area 204(170.57 sq.m.),3.0,8.0,2,3.0,North-East,Relatively New,,1836.0,,1.0,0.0,0.0,1.0,0.0,2.0,19.0,74.0,612.0
40,house,independent,sector 26,6.0,33333.0,1800.0,Plot area 200(167.23 sq.m.),3.0,5.0,3+,3.0,,Old Property,,1800.0,,0.0,0.0,0.0,0.0,0.0,2.0,9.0,61.0,600.0
42,house,dlf city plots phase 3,sector 24,1.6,3292.0,4860.0,Plot area 540(50.17 sq.m.)Built Up area: 540 sq.ft. (50.17 sq.m.)Carpet area: 500 sq.ft. (46.45 sq.m.),8.0,5.0,3+,4.0,East,Old Property,,540.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,55.0,607.5
43,house,independent,sector 23,5.5,21825.0,2520.0,Plot area 280(234.12 sq.m.),8.0,8.0,2,3.0,East,Moderately Old,,2520.0,,1.0,1.0,0.0,1.0,0.0,2.0,76.0,82.0,315.0
46,house,independent,sector 12,3.5,14787.0,2367.0,Plot area 263(24.43 sq.m.)Built Up area: 4800 sq.ft. (445.93 sq.m.)Carpet area: 4400 sq.ft. (408.77 sq.m.),8.0,8.0,3+,3.0,South-East,Relatively New,,4800.0,4400.0,1.0,1.0,0.0,1.0,0.0,1.0,77.0,61.0,295.875
